Problem,Performance,Model,Time
General,0.625,CART,Two Year
General,0.661,EBM,Two Year
General,0.669,L1 Stumps,Two Year
General,0.647,RiskSLIM,Two Year
General,0.56,Corel,Two Year
General,0.605,Arnold PSA,Two Year
Violent,0.611,CART,Two Year
Violent,0.675,EBM,Two Year
Violent,0.682,L1 Stumps,Two Year
Violent,0.655,RiskSLIM,Two Year
Violent,0.531,Corel,Two Year
Violent,0.649,Arnold PSA,Two Year
Drug,0.636,CART,Two Year
Drug,0.667,EBM,Two Year
Drug,0.709,L1 Stumps,Two Year
Drug,0.703,RiskSLIM,Two Year
Drug,0.5,Corel,Two Year
Drug,0.546,Arnold PSA,Two Year
Property,0.699,CART,Two Year
Property,0.734,EBM,Two Year
Property,0.734,L1 Stumps,Two Year
Property,0.685,RiskSLIM,Two Year
Property,0.518,Corel,Two Year
Property,0.616,Arnold PSA,Two Year
Felony,0.615,CART,Two Year
Felony,0.651,EBM,Two Year
Felony,0.649,L1 Stumps,Two Year
Felony,0.611,RiskSLIM,Two Year
Felony,0.518,Corel,Two Year
Felony,0.616,Arnold PSA,Two Year
Misdemeanor,0.579,CART,Two Year
Misdemeanor,0.633,EBM,Two Year
Misdemeanor,0.624,L1 Stumps,Two Year
Misdemeanor,0.579,RiskSLIM,Two Year
Misdemeanor,0.505,Corel,Two Year
Misdemeanor,0.546,Arnold PSA,Two Year
General,0.579,CART,Six Month
General,0.623,EBM,Six Month
General,0.62,L1 Stumps,Six Month
General,0.588,RiskSLIM,Six Month
General,0.511,Corel,Six Month
General,0.579,Arnold PSA,Six Month
Violent,0.624,CART,Six Month
Violent,0.677,EBM,Six Month
Violent,0.681,L1 Stumps,Six Month
Violent,0.655,RiskSLIM,Six Month
Violent,0.5,Corel,Six Month
Violent,0.682,Arnold PSA,Six Month
Drug,0.567,CART,Six Month
Drug,0.646,EBM,Six Month
Drug,0.688,L1 Stumps,Six Month
Drug,0.66,RiskSLIM,Six Month
Drug,0.5,Corel,Six Month
Drug,0.506,Arnold PSA,Six Month
Property,0.64,CART,Six Month
Property,0.714,EBM,Six Month
Property,0.687,L1 Stumps,Six Month
Property,0.666,RiskSLIM,Six Month
Property,0.5,Corel,Six Month
Property,0.621,Arnold PSA,Six Month
Felony,0.538,CART,Six Month
Felony,0.627,EBM,Six Month
Felony,0.609,L1 Stumps,Six Month
Felony,0.592,RiskSLIM,Six Month
Felony,0.5,Corel,Six Month
Felony,0.582,Arnold PSA,Six Month
Misdemeanor,0.568,CART,Six Month
Misdemeanor,0.599,EBM,Six Month
Misdemeanor,0.6,L1 Stumps,Six Month
Misdemeanor,0.547,RiskSLIM,Six Month
Misdemeanor,0.5,Corel,Six Month
Misdemeanor,0.557,Arnold PSA,Six Month
