Problem,Performance,Model,Time
General,0.62,CART,Two Year
General,0.661,EBM,Two Year
General,0.648,L1 Stumps,Two Year
General,0.626,RiskSLIM,Two Year
General,0.605,Arnold PSA,Two Year
General,0.631,COMPAS,Two Year
Violent,0.621,CART,Two Year
Violent,0.675,EBM,Two Year
Violent,0.67,L1 Stumps,Two Year
Violent,0.651,RiskSLIM,Two Year
Violent,0.628,Arnold PSA,Two Year
Violent,0.639,COMPAS,Two Year
Drug,0.654,CART,Two Year
Drug,0.684,EBM,Two Year
Drug,0.714,L1 Stumps,Two Year
Drug,0.696,RiskSLIM,Two Year
Drug,0.552,Arnold PSA,Two Year
Drug,0.633,COMPAS,Two Year
Property,0.684,CART,Two Year
Property,0.739,EBM,Two Year
Property,0.741,L1 Stumps,Two Year
Property,0.719,RiskSLIM,Two Year
Property,0.658,Arnold PSA,Two Year
Property,0.645,COMPAS,Two Year
Felony,0.595,CART,Two Year
Felony,0.655,EBM,Two Year
Felony,0.626,L1 Stumps,Two Year
Felony,0.618,RiskSLIM,Two Year
Felony,0.619,Arnold PSA,Two Year
Felony,0.652,COMPAS,Two Year
Misdemeanor,0.568,CART,Two Year
Misdemeanor,0.634,EBM,Two Year
Misdemeanor,0.611,L1 Stumps,Two Year
Misdemeanor,0.576,RiskSLIM,Two Year
Misdemeanor,0.544,Arnold PSA,Two Year
Misdemeanor,0.551,COMPAS,Two Year
General,0.561,CART,Six Month
General,0.622,EBM,Six Month
General,0.619,L1 Stumps,Six Month
General,0.583,RiskSLIM,Six Month
General,0.577,Arnold PSA,Six Month
General,0.609,COMPAS,Six Month
Violent,0.627,CART,Six Month
Violent,0.675,EBM,Six Month
Violent,0.675,L1 Stumps,Six Month
Violent,0.666,RiskSLIM,Six Month
Violent,0.675,Arnold PSA,Six Month
Violent,0.609,COMPAS,Six Month
Drug,0.569,CART,Six Month
Drug,0.671,EBM,Six Month
Drug,0.697,L1 Stumps,Six Month
Drug,0.663,RiskSLIM,Six Month
Drug,0.498,Arnold PSA,Six Month
Drug,0.597,COMPAS,Six Month
Property,0.635,CART,Six Month
Property,0.724,EBM,Six Month
Property,0.713,L1 Stumps,Six Month
Property,0.723,RiskSLIM,Six Month
Property,0.626,Arnold PSA,Six Month
Property,0.64,COMPAS,Six Month
Felony,0.508,CART,Six Month
Felony,0.608,EBM,Six Month
Felony,0.59,L1 Stumps,Six Month
Felony,0.566,RiskSLIM,Six Month
Felony,0.58,Arnold PSA,Six Month
Felony,0.624,COMPAS,Six Month
Misdemeanor,0.54,CART,Six Month
Misdemeanor,0.605,EBM,Six Month
Misdemeanor,0.586,L1 Stumps,Six Month
Misdemeanor,0.57,RiskSLIM,Six Month
Misdemeanor,0.556,Arnold PSA,Six Month
Misdemeanor,0.569,COMPAS,Six Month
