"person_id","sex","screening_date","p_current_age","p_age_first_offense","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","years_since_last_crime","six_month","one_year","three_year","five_year","recid_use"
5650,0,2013-08-07,26,18,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,4,10,0,0,0,0,0,0,0,0,0,0,0.46047227926078,1,1,1,1,"0"
688,0,2013-04-17,24,18,23,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,14,2,6,0,8,39,0,0,0,0,0,0,0,0,0,0,0.457734428473648,1,1,1,1,"1"
3854,0,2013-01-17,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
5308,0,2013-01-20,32,21,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,2,7,21,0,0,0,0,0,0,0,0,0,0,0.857973990417522,0,1,1,1,"1"
2281,0,2013-02-25,23,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0.812970568104038,0,1,1,1,"1"
2503,1,2014-01-05,29,21,21,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0.146303901437372,1,1,1,1,"1"
4553,0,2013-04-27,31,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,1.49880219028063,0,0,1,1,"0"
944,0,2014-01-03,26,19,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,1,5,10,0,0,0,1,0,0,0,0,0,0,1.39082819986311,0,0,1,1,"0"
925,0,2013-04-18,34,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0.915468856947296,0,1,1,1,"0"
5982,0,2013-05-08,22,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68309377138946,0,0,0,1,"1"
1526,0,2013-12-12,34,27,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,11,0,0,0,0,0,0,0,0,0,0,3.82118412046543,0,0,0,1,"0"
1140,0,2013-05-17,68,49,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,1,9,23,0,0,0,0,0,0,0,0,0,0,1.4194045174538,0,0,1,1,"0"
6229,0,2013-03-18,35,29,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,9,16,0,0,0,0,0,0,0,0,0,0,3.3184462696783,0,0,0,1,"1"
2402,0,2013-05-28,43,21,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,1,17,25,0,0,0,1,0,0,0,0,0,0,1.95773442847365,0,0,1,1,"0"
5685,0,2013-05-28,35,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,4.3266598220397,0,0,0,1,"0"
3859,0,2014-01-28,36,30,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0.438569472963723,1,1,1,1,"1"
5700,1,2013-02-19,22,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,1.76368925393566,0,0,1,1,"1"
5877,0,2013-03-02,32,17,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,1,13,33,0,0,0,3,0,0,0,0,0,0,4.24058863791923,0,0,0,1,"0"
6105,0,2013-10-10,26,18,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0.530116358658453,0,1,1,1,"0"
1082,0,2013-09-29,47,32,18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,24,15,8,4,23,72,0,0,0,1,0,0,0,0,0,0,2.80749486652977,0,0,1,1,"1"
3749,0,2013-03-14,29,29,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
